_id,singkat,hasil
2033,sgeder,berkumpul
2034,sherina,serius nih?
2035,Sia,kamu
2036,siake,sumpah serapah
2037,sicc,siapa kamu
2038,sidalor,seseorang yang menyimpan uang di dalam celana dalamnya
2039,sie,capek deh
2040,siekek,umpatan kekesalan
2041,sigit,siap menggigit
2042,sikak,umpatan
2043,sikit,sedikit
2044,Silit Ngarit,umpatan kekesalan
2045,silpit,silit nyelempit
2046,simatupang,siang malam tunggu panggilan
2047,sindang,sini
2048,singit,putar-putar tidak karuan
2049,singkap,membuka
2050,Sinta jojo,yang suka makan sosis so nice
2051,siokap,siapa
2052,sip,mantap
2053,sippo,sip
2054,sireum,semut
2055,sjm,jual mahal
2056,skip,lupa
2057,sksd,sok kenal sok dekat
2058,slang,nama lain
2059,slank,sudah lama aku naksir kamu
2060,slebor,amburadul
2061,sljj,semester delapan masih sendiri
2062,Slopis,santai
2063,slow,santai
2064,smack,banting
2065,smak dago,selesai makan angkat kaki dasar goblog
2066,smakdago,sudah makan angkat kaki dasar guoblog
2067,smancay,semangat cinta
2068,smehem,raut muka datar
2069,smp,sehabis makan pulang
2070,sms,selangkah menuju selingkuh
2071,so kul,sok kuat kamu
2072,sob,panggilan akrab
2073,sodokur,saudara
2074,soes,sombong
2075,softo,bercanda
2076,soim,sok imut
2077,sokat,satu
2078,soket,setan
2079,sokil gob,gila
2080,sokot,sok tahu
2081,sol sepatu banget,plesetan dari kata2 yang sering dpke syahrini
2082,Solder,panas
2083,somay somaiy,sok tahu
2084,sompret,sialan
2085,somse,sombong sekali
2086,Son,nama panggilan
2087,songkolo,sialan
2088,songong,sombong
2089,sontoloyo,bodoh
2090,sopeng,pengangguran
2091,soplok,pemalas
2092,soraya perucha,sakit perut
2093,Soru,makan
2094,sosialita,seorang kaya yang dermawan
2095,Sosmed,sosial media
2096,sota,sok tahu
2097,sotil,sok tahu
2098,soto,photoshop
2099,sotoy,sok tahu
2100,sotta,sok tau
2101,sozzis,memalukan
2102,spanyol,serikat penjahat konyol
2103,sparkyu,merasa menjadi fans kyuhyun super junior
2104,spaw,konyol
2105,spg,sales promotion girl
2106,Spokit,sepatu
2107,spupet,sepupu
2108,ssg,suka-suka gw
2109,ssi,merayu
2110,stahp,stop
2111,Stalker,orang yang ingin tahu tentang seseorang
2112,stalking,penggemar rahasia
2113,stamin,santai
2114,stb,setrika
2115,Stba,sekolah tamat tetep bego
2116,stenggil,setengah gila
2117,stenky,setengah
2118,sterek,setengah kekar
2119,stmj,suka tidur ma janda
2120,stoned,membantu
2121,sttb,sekolah tamat tetap bego
2122,stuja,setuju
2123,stun,asap
2124,suamsuam kuku,suamiku
2125,Sudom,modus
2126,sue,sial
2127,Sufefu,sumpah loh ?
2128,sugab,bagus
2129,suhu,pemimpin
2130,sujis,suka najis
2131,suju,super junior
2132,sukirno,suka mikir porno
2133,sukri,suka ribut
2134,Sulaya,berkelahi
2135,sule,susu kedele
2136,sumanto,suka makan soto
2137,sumeh,murah senyum
2138,sumey sumeiy,sok tahu
2139,sumitro,suka minta rokok
2140,summon,menyebarluaskan informasi
2141,sumpeh loh,beneran tuh
2142,sumpek,sesak
2143,sumprit,sumpah
2144,sun,cium pipi
2145,sundala,jengkel
2146,suntek,kesialan
2147,suntili,ungkapan kejengkelan
2148,suntuk,hilang semangat
2149,suog,mengumpat
2150,suping,pusing
2151,supri,supir pribadi
2152,sustagen,susu tahan gencet
2153,sutomo,sampai jumpa nanti
2154,sutra,sudah
2155,sutralah,sudahlah
2156,sutup,putus
2157,suzuki,sungguh-zungguh lelaki
2158,Swag,keren
2159,swedia,suka cewek dan pria
2160,swgl,jadi kenapa
2161,swiss,serikat waria seksi
2162,tabus,tata busana
2163,tacu,lanjut
2164,taela,ya elah
2165,taengasu,kekesalan
2166,tagarubuih,terjerembab
2167,tai ledick,ungkapan mengejek orang
2168,tai ledig,kotoran tidak jelas bentuknya
2169,tajangkang,mati
2170,Taken,tidak kenal
2171,taker,mudah
2172,takilan,banyak gaya
2173,takis,hajar
2174,takuru,naik taksi
2175,Talekang,berlebih-lebihan
2176,tambuk,busuk
2177,tamiya,merk mobil mini 4wd
2178,tanksin,malu
2179,tapir,belum sunat
2180,tapte,sudah tahu masih tanya
2181,tarattu,kentut
2182,tarsok,besok
2183,tartig,bonceng tiga
2184,tasu,kotoran anjing
2185,tawara,tau
2186,tayank,sayang pulsa
2187,tbc,tekanan batin cinta
2188,teah,tae ah
2189,tebir,sulit
2190,teeet,bunyi ketika melihat sesuatu yang tidak kita harapkan
2191,tekdung,hamil
2192,tekwik,baca wikipedia
2193,telat,lambat
2194,tele tele,telefon
2195,telfo,telat info
2196,telif,basi
2197,telmi,telat mikir
2198,telor,calon anak ayam
2199,tembo,kepala
2200,temer,motor
2201,temon,wanita tuna susila
2202,tempeleng,pukul
2203,templet,tempe
2204,tenang,mengalihkan perhatian
2205,tendensi,kecenderungan
2206,tenenna,beneran
2207,tenge,banyak gaya
2208,tenggo,pulang sesegera
2209,tengik,busuk
2210,tengsin,malu
2211,tepar,terkapar
2212,tepos,kempes
2213,tepu,membodohi
2214,ternak teri,anter anak anter istri
2215,Terongterongan,playboy yang mau sama siapa saja
2216,tewang,layangan putus saat ngadu
2217,tewewew,cewek
2218,textrovert,banyak omong
2219,tfa,terima kasih untuk aspek
2220,tfb,terima kasih
2221,tfc,terima kasih atas komentar
2222,tfl,terimakasih untuk menyukai
2223,tfr,terima kasih atas permintaan
2224,tft,thanks for today
2225,tfyi,thanks for your information
2226,tgbm,tidak goyang barbel melayang
2227,tgif,terima kasih tuhan hari ini jumat
2228,The Bills,oke banget
2229,thx,terima kasih
2230,timpel,putus
2231,tings,tinggi
2232,tinta,tidak
2233,tipsani,penipu
2234,tiren,mati kemarin
2235,tirtur,memanggil gadis cantik
2236,tite,keren
2237,titi dj,hati-hati dijalan
2238,titi kamal,hati-hati kalo malem
2239,titik puspa,hati hati naik vespa
2240,tmt,teman makan teman
2241,tobleg,keren
2242,todes,sedot
2243,togo,tolol goblok
2244,togok,tolol dan goblok
2245,Tohla,jitak
2246,toidi,bodoh
2247,tokay,tahi
2248,tokem,teman
2249,tokipan,minuman
2250,toldo,tolol dan dongo
2251,toling,"kelamin lelaki, bahasa palembang"
2252,tolol heboh,lucu habis
2253,tomfreakz,muka kebelet
2254,tomo,rokok
2255,Tong,panggilan anak lelaki kecil
2256,tonge,ceroboh
2257,Top Markotop,sangat luar biasa
2258,topan,menghentikan permainan sementara
2259,tothep,roti jepang
2260,toti,tukang tipu
2261,toyor,mendorong kepala orang lain dengan keras menggunakan tangan
2262,tp,tebar pesona
2263,transenden,luar biasa
2264,travel,tempat pijat
2265,tromol,sudah tidak jaman
2266,ts,thread starter
2267,ttm,teman tapi mesra
2268,tubang,terlalu lama sendiri
2269,tubir,ribut
2270,tuik,kesal
2271,tuir,tua
2272,tulul,tolol
2273,tumben,tidak biasanya berlaku seperti itu
2274,tumbuang,kurang ajar
2275,tungkik,kotoran telinga
2276,turbo,turunan bokir
2277,turki,keturunan rakyat kurang gizi
2278,Turon,tiduran
2279,tuti,tukang tipu
2280,Tutuy,pacaran
2281,tuwir,tua banget
2282,twitwar,perang yang terjadi di twitter
2283,ty,thankyou ya
2284,typo,salah ketik
2285,ubas,sabu
2286,ucing ala uwe,pusing kepala
2287,ucul,lucu
2288,uda,kakak lelaki
2289,Udik,kampungan
2290,udin,sudah
2291,udinda,sudah
2292,udsab,hal yang parah atau hancur
2293,Udunan,patungan
2294,ujan,uang jajan
2295,ulung,kecanduan dan tidak bisa dihentikan
2296,umaga,ya tuhanku ?
2297,umak,kamu
2298,umser,tebar pesona
2299,unang,jangan
2300,Unda,saya
2301,uniko,usaha nipu kolot
2302,unyu,imut
2303,Upss,ekspresi keceplosan
2304,urang,saya
2305,urunan,persamaan kata
2306,urut,pantat
2307,utas,satu
2308,uud,ujung-ujungnya duit
2309,velotheis,penyuka balap sepeda
2310,vera,vespa merah
2311,veter,tidak naik kelas
2312,viktor,vikiran kotor
2313,vino,pikiran porno
2314,vis,rokok
2315,vlog,video log
2316,voicegenic,suaranya bagus
2317,w,dengan
2318,wa,whatsapp
2319,waduk,omong kosong
2320,wah weh,pemandangan mata
2321,waifu,karakter kesukaan yang begitu disukai oleh penggemar anime
2322,wakas,mabok
2323,wakwau,tidak beruntung
2324,waluh,sayuran
2325,Wana,ejekan / bersifat offensive
2326,wanita,waktu ayah naiki ibu terjadilah aku
2327,Wanjer,diucapkan ketika terkejut
2328,warnet,warung internet
2329,warsun,warung sunda
2330,wartel telepipis,kebelet boker
2331,waskitha,mengetahui
2332,wastro,gila
2333,watados,wajah tanpa dosa
2334,wawo,depan www belakang wooo
2335,wawuk,memanggil teman
2336,wb,selamat datang
2337,Wece,wanita
2338,wecing,wanita
2339,wedus,kambing
2340,weke weke,lemah
2341,wew leh uga u,boleh juga
2342,wil,wanita idaman lain
2343,wismilak,wanita itu semua milik laki laki
2344,wkwkwkwk,tertawa sangat keras
2345,wml,doakan berhasil
2346,wolay,lambat
2347,woles,santai
2348,wombat,waste of money
2349,wow,kagum
2350,wtb,ingin beli
2351,wtf,apa itu fuck?
2352,wth,apa apaan
2353,wuakakak,tertawa keras
2354,wyatb,wish you all the best
2355,xenon,mengandung bahan kimia
2356,xmx,pesan singkat
2357,ya kalee,ya mungkin
2358,yabees,ya habis
2359,yah tepo,benang layangan yang gampang putus
2360,yai,iya
2361,Yaisi,sial
2362,yak yakan,pecicilan
2363,yakali dah,tidak percaya
2364,yalsi,sial
2365,yamaha,yanti makin hot aja
2366,yaudin,ya sudah
2367,yey,kamu
2368,yipe,bagaimana
2369,Yisto,ya sudahlah
2370,yiuk,panggilan kaum waria
2371,yks,tetap tersenyum
2372,ynwa,"you""ll never walk alone"
2373,yolai,iya
2374,Yolo,kamu hanya hidup sekali
2375,yongjay,okelah
2376,yongkru,yoi
2377,your eyes,matamu
2378,yout kitchen,dapur
2379,yowbray,benar sekali
2380,yph,yang penting hepi
2381,yucu,lucu
2382,yungs,sayang
2383,Yupi,lemah
2384,yuuuk,ayo
2385,Yw,sama-sama
2386,ywd,ya sudah
2387,zaliman,zalim
2388,zombie,jarang pulang
2389,zzz,kesal pada seseorang
2390,lu,kamu
2391,ngga,tidak
2392,tdk,tidak
2393,bkn,bukan
2394,dg,dengan
2395,yg,yang
2396,gk,tidak
2397,ky,kayak
2398,handle,menangani
2399,ngeyel,keras kepala
2400,tau,tahu
2401,gw,saya
2402,kmbali,kembali
2403,males,malas
2404,klo,kalau
2405,liat,lihat
2406,truskan,teruskan
2407,abis,habis
2408,accent,tekanan
2409,accept,terima
2410,accident,kecelakaan
2411,achievement,prestasi
2412,acra,acara
2413,acrany,acaranya
2414,acrnya,acaranya
2415,action,aksi
2416,active,aktif
2417,activity,aktivitas
2418,actually,sebenarnya
2419,actualy,sebenarnya
2420,ad,ada
2421,ade,ada
2422,adult,dewasa
2423,adventure,petualangan
2424,adventurer,petualang
2425,advice,nasehat
2426,after,setelah
2427,afternun,sore
2428,again,lagi
2429,agency,perwakilan
2430,agent,agen
2431,agk,agak
2432,agktn,angkatan
2433,agree,setuju
2434,agreement,persetujuan
2435,aing,saya
2436,aj,saja
2437,aja,saja
2438,ajah,saja
2439,aje,saja
2440,ajeh,saja
2441,ajk,ajak
2442,ak,saya
2443,akeh,banyak
2444,akhire,akhirnya
2445,aktifkn,aktifkan
2446,aku,saya
2447,alhamdlh,alhamdulillah
2448,alhamdulilah,alhamdulillah
2449,almost,hampir
2450,almt,alamat
2451,alone,sendiri
2452,alsn,alasan
2453,also,juga
2454,always,selalu
2455,ama,sama
2456,amazing,mengagumkan
2457,ampe,sampai
2458,amu,kamu
2459,amuh,kamu
2460,ancen,memang
2461,ancur,hancur
2462,ane,saya
2463,anget,hangat
2464,aple,apple
2465,aplksi,aplikasi
2466,aproved,diterima
2467,aq,saya
2468,aqoe,saya
2469,aqu,saya
2470,aqw,saya
2471,arep,mau
2472,arived,tiba
2473,article,artikel
2474,artine,artinya
2475,asignment,tugas
2476,assistance,bantuan
2477,assistant,asisten
2478,asyek,asyik
2479,ats,atas
2480,atu,satu-satu
2481,atw,atau
2482,automatic,otomatis
2483,aya,ada
2484,b,bb
2485,"b\kesinambungn""",berkesinambungan
2486,babeh,ayah
2487,balasanya,balasannya
2488,bales,balas
2489,banga,bangga
2490,batre,baterai
2491,bbrapa,beberapa
2492,bbrp,beberapa
2493,bbrpa,beberapa
2494,bdg,bandung
2495,beach,pantai
2496,before,sebelum
2497,begete,banget
2498,bego,bodoh
2499,belike,belikan
2500,bengi,malam
2501,benjol,memar
2502,beraktifitas,beraktivitas
2503,berjln,berjalan
2504,berkmmpuan,berkemampuan
2505,bersaman,bersamaan
2506,bet,banget
2507,beter,better
2508,between,antara
2509,Bgm,bagaimana
2510,bgmn,bagaimana
2511,bgmna,bagaimana
2512,bgn,bangun
2513,bgt,banget
2514,bgtu,begitu
2515,bhs,bahasa
2516,bimbel,bimbingan belajar
2517,birthday,ulang tahun
2518,bis,habis
2519,bjln,berjalan
2520,bklan,bakalan
2521,bkn,bukan
2522,blackbery,blackberry
2523,blg,bilang
2524,blk,balik
2525,blm,belum
2526,bln,bulan
2527,blng,bilang
2528,blnja,belanja
2529,blom,belum
2530,blon,belum
2531,bls,balas
2532,blsanya,balasannya
2533,blum,belum
2534,bm,bbm
2535,bnar,benar
2536,bner,benar
2537,bnr,benar
2538,bnrn,beneran
2539,bntr,sebentar
2540,bntu,bantu
2541,bnuh,bunuh
2542,bnyk,banyak
2543,bobonya,tidurnya
2544,bodo,bodoh
2545,bokap,ayah
2546,bole,boleh
2547,boong,bohong
2548,boring,bosan
2549,bpak,bapak
2550,bpk,bapak
2551,brangcut,berangkat
2552,brangkt,berangkat
2553,brenang,berenang
2554,brg,barang
2555,brp,berapa
2556,brpa,berapa
2557,brsih,bersih
2558,bru,baru
2559,bs,bisa
2560,bsa,bisa
2561,bsar,besar
2562,bsh,basah
2563,bsk,besok
2564,bsok,besok
2565,bsr,besar
2566,bth,butuh
2567,btuh,butuh
2568,btul,betul
2569,btw,ngomong ngomong
2570,buanged,banget
2571,buangedh,banget
2572,buanget,banget
2573,buktiin,buktikan
2574,buktin,buktikan
2575,buln,bulan
2576,bungks,bungkus
2577,bw,bawa
2578,bwa,bawa
2579,bwah,bawah
2580,bwat,untuk
2581,bwh,bawah
2582,bwt,untuk
2583,byar,bayar
2584,byk,banyak
2585,byr,bayar
2586,cabe,cabai
2587,cadas,cerdas
2588,cah,bocah
2589,call,telepon
2590,can,dapat
2591,cape,capek
2592,"car
",mobil
2593,career,karir
2594,caution,perhatian
2595,cb,coba
2596,Ceman,teman
2597,cemungudh,semangat
2598,Cemungut,semangat
2599,cepet,cepat
2600,cew,cewek
2601,cewe,cewek
2602,check,cek
2603,ciapa,siapa
2604,cibuk,sibuk
2605,cinto,cinta
2606,cius,serius
2607,ciusan,seriusan
2608,ciyus,serius
2609,clananya,celananya
2610,cmpakan,campakkan
2611,cmpakin,campakkan
2612,cnd,canda
2613,cnda,canda
2614,cnggih,canggih
2615,cngih,canggih
2616,cnt,cinta
2617,cnta,cinta
2618,cntik,cantik
2619,cntk,cantik
2620,cntre,tengah
2621,co,cowok
2622,coach,pelatih
2623,coaster,alas
2624,cocokin,cocokkan
2625,cocoknyo,cocoknya
2626,coconut,kelapa
2627,cod,bayar saat pengiriman
2628,coding,mengkode
2629,coklat,cokelat
2630,colecting,mengoleksi
2631,colection,koleksi
2632,colongin,curikan
2633,colonial,kolonial
2634,color,warna
2635,colorful,berwarna-warni
2636,colour,warna
2637,comeback,datang kembali
2638,comedy,komedi
2639,comendable,patut dihargai
2640,coment,komen
2641,comercial,komersil
2642,comes,datang
2643,comfirm,konfirmasi
2644,Comfort,nyaman
2645,comfortable,menyenangkan
2646,comic,komik
2647,coming,datang
2648,comingson,segera datang
2649,comingsoon,segera datang
2650,commando,prajurit
2651,commendable,patut dihargai
2652,comment,komen
2653,commentary,uraian
2654,commercial,komersil
2655,community,komunita
2656,communityny,komunitanya
2657,company,perusahaan
2658,competition,persaingan
2659,complain,mengeluh
2660,complete,lengkap
2661,completes,lengkap
2662,compliment,pujian
2663,compose,menyusun
2664,computing,menghitung
2665,comunity,komunita
2666,comunityny,komunitanya
2667,concept,konsep
2668,concert,konser
2669,condition,kondisi
2670,conditioning,mengkondisikan
2671,conect,menghubungkan
2672,conection,koneksi
2673,confident,yakin
2674,configuration,susunan
2675,confirm,konfirmasi
2676,confius,bingung
2677,confuse,bingung
2678,confused,bingung
2679,congralts,(ucapan) selamat
2680,Congrat,(ucapan) selamat
2681,congrate,(ucapan) selamat
2682,congrats,(ucapan) selamat
2683,consept,konsep
2684,consider,mempertimbangkan
2685,consult,berunding
2686,consultants,konsultan
2687,consumer,konsumen
2688,contac,kontak
2689,contact,kontak
2690,content,isi
2691,contest,kontes
2692,contoe,contohnya
2693,contra,kontra
2694,contract,kontrak
2695,control,kontrol
2696,convention,konvensi
2697,Convoy,konvoi
2698,cook,memasak
2699,copas,copy paste
2700,copot,lepas
2701,corner,sudut
2702,corners,sudut
2703,corola,corolla
2704,correction,koreksi
2705,corridor,koridor
2706,cosmetics,kosmetik
2707,cost,ongkos
2708,costs,ongkos
2709,costum,kostum
2710,could,dapat
2711,council,dewan
2712,countdown,perhitungan detik-detik terakhir
2713,counter,alat perhitungan
2714,country,negara
2715,countryside,daerah pedalaman
2716,couple,pasangan
2717,cousin,sepupu
2718,cow,cowok
2719,cowo,cowok
2720,cpt,cepat
2721,cr,cara
2722,crazy,gila
2723,cri,cari
2724,crt,cerita
2725,crtx,ceritanya
2726,cucok,cocok
2727,cukop,cukup
2728,cuman,cuma
2729,cumn,hanya
2730,curcol,curhat
2731,cwek,cewek
2732,cwo,cowok
2733,cwok,cowok
2734,cyus,serius
2735,dah,sudah
2736,dalan,jalan
2737,dangerous,bahaya
2738,dasyat,dahsyat
2739,date,tanggal
2740,dateng,datang
2741,datenglah,datanglah
2742,day,hari
2743,dbls,dibalas
2744,dbnt,dibantu
2745,ddlm,didalam
2746,dduk,duduk
2747,defence,pertahanan
2748,defend,membela
2749,deg2an,deg-degan
2750,degdeg,deg-degan
2751,degdeg-an,deg-degan
2752,degdegan,deg-degan
2753,degdegser,deg-degan
2754,deket,dekat
2755,desek2an,desak-desakan
2756,desekan,desakan
2757,dewe,sendiri
2758,dftar,daftar
2759,dg,dengan
2760,dgn,dengan
2761,dgr,dengar
2762,dgrin,dengarkan
2763,dgrn,dengarkan
2764,dh,sudah
2765,dibangain,dibanggakan
2766,dibls,dibalas
2767,digangu,diganggu
2768,diizinin,diberi izin
2769,dikasi,dikasih
2770,dikasinya,dikasihnya
2771,dikit,sedikit
2772,dikls,di kelas
2773,diliat,dilihat
2774,diluk,sebentar
2775,dimana2,dimana-mana
2776,dimkn,dimakan
2777,dimksd,dimaksud
2778,dimn2,dimana-mana
2779,dimna,dimana
2780,dinstal,diinstall
2781,dipake,dipakai
2782,dipangilnya,dipanggilnya
2783,dipke,dipakai
2784,disawat,dilempar
2785,disblah,disebelah
2786,discon,diskon
2787,discont,diskon
2788,discount,diskon
2789,disebrang,diseberang
2790,disebuah,disebuah
2791,disekolah,di sekolah
2792,disekolahan,di sekolahan
2793,disekolahin,disekolahkan
2794,diselengarakan,diselenggarakan
2795,diselimutin,diselimuti
2796,disenayan,di senayan
2797,disenen,di senen
2798,disentul,di sentul
2799,diservice,diservis
2800,dishub,Dinas Perhubungan
2801,dishubkominfo,Dinas Perhubungan Komunikasi dan Informatika
2802,disi,diisi
2803,disia2in,disia-siakan
2804,disimpen,disimpan
2805,disimpng,disimpang
2806,disinih,disini
2807,disklh,di sekolah
2808,diskonnye,diskonnya
2809,diskony,diskonnya
2810,diskonya,diskonnya
2811,Diskonye,diskonnya
2812,disni,disini
2813,disono,disana
2814,disonoh,disana
2815,distribution,distribusi
2816,district,daerah
2817,distroy,hancur
2818,disturb,ganggu
2819,disurga,di surga
2820,disurh,disuruh
2821,disuru,disuruh
2822,ditabra,ditabrak
2823,ditaktir,ditraktir
2824,ditaman,di taman
2825,ditambahin,ditambahkan
2826,ditanah,di tanah
2827,ditangepin,ditanggapin
2828,ditanggepin,ditanggapin
2829,ditangkep,ditangkap
2830,ditangkepinnya,ditangkapinnya
2831,ditangkepinya,ditangkapinnya
2832,ditangung,ditanggung
2833,ditaro,ditaruh
2834,ditarok,ditaruh
2835,ditelen,ditelan
2836,ditemeni,ditemani
2837,ditemenin,ditemani
2838,diteraktir,ditraktir
2839,ditingal,ditinggal
2840,ditingali,ditinggali
2841,ditingikan,ditinggikan
2842,ditkarkan,ditukarkan
2843,ditlp,ditelepon
2844,ditmpt,di tempat
2845,ditngah,ditengah
2846,ditngguin,ditungguin
2847,ditnguin,ditunggu
2848,ditnjkn,ditunjukkan
2849,ditoko,di toko
2850,ditrakter,ditraktir
2851,ditrotoar,di trotoar
2852,ditugu,di tugu
2853,dituker,ditukar
2854,ditukoke,dibelikan
2855,ditukokno,dibelikan
2856,ditumbasne,dibelikan
2857,ditumpaki,dinaiki
2858,diTunas,di tunas
2859,ditunggu2,ditunggu-tunggu
2860,ditungu,ditunggu
2861,ditungu2,ditunggu-tunggu
2862,ditunguin,ditunggu
2863,ditunjukan,ditunjukkan
2864,ditunjukin,ditunjukkan
2865,diturunkn,diturunkan
2866,diwarnet,di warnet
2867,diweekend,di akhir pekan
2868,diwolak,dibalik
2869,djagain,dijaga
2870,djemput,dijemput
2871,dJkt,di Jakarta
2872,djln,di jalan
2873,dkasih,dikasih
2874,dkat,dekat
2875,dkatkan,dekatkan
2876,dket,dekat
2877,dketan,dekat
2878,dkit,sedikit
2879,dkk,dan kawan-kawan
2880,dklinikk,di klinik
2881,dkluarin,dikeluarkan
2882,dkmps,di kampus
2883,dkomplain,dikomplain
2884,dksh,dikasih
2885,dkt,dekat
2886,dkung,dukung
2887,dl,dulu
2888,dlakukan,dilakukan
2889,dlakukn,dilakukan
2890,dlam,dalam
2891,dlanjutin,dilanjutkan
2892,dliat,dilihat
2893,dliburkan,diliburkan
2894,dll,dan lain-lain
2895,dlm,dalam
2896,dlnjutin,dilanjutkan
2897,dlu,dulu
2898,dluan,duluan
2899,dmainkan,dimainkan
2900,dmakan,dimakan
2901,dmam,demam
2902,dmamX,demamnya
2903,dman,dimana
2904,dmana,dimana
2905,dminta,diminta
2906,dmn,dimana
2907,dmna,dimana
2908,dmna2,dimana-mana
2909,dmnanya,dimananya
2910,dmnnya,dimananya
2911,dmno,dimana
2912,dmnt,diminta
2913,dmnya,dimananya
2914,dmobil,di mobil
2915,dmonas,di monas
2916,dmtr,di motor
2917,dn,dan
2918,dng,dengan
2919,dngan,dengan
2920,dnger,dengar
2921,dnger2,denga-dengar
2922,dngerin,dengarkan
2923,dnggo,dipakai
2924,dngin,dingin
2925,dnginan,dinginan
2926,dngn,dengan
2927,doain,doakan
2928,doane,doanya
2929,doang,saja
2930,doank,saja
2931,dolali,pada lupa
2932,dolan,bermain
2933,donload,unduh
2934,donlod,unduh
2935,donlot,unduh
2936,dont,jangan
2937,dpat,dapat
2938,dpatkan,dapatkan
2939,dpet,dapat
2940,dpn,depan
2941,dpstikn,dipastikan
2942,dpt,dapat
2943,dr,dari
2944,dri,dari
2945,dripada,daripada
2946,dripd,daripada
2947,drmh,di rumah
2948,drmn,darimana
2949,drpd,daripada
2950,drtd,daritadi
2951,dsana,disana
2952,dsar,dasar
2953,dsb,dan sebagainya
2954,dsini,disini
2955,dsitu,disitu
2956,dskolah,di sekolah
2957,dsktr,di sekitar
2958,dsmber,desember
2959,dsna,disana
2960,dsni,disini
2961,dsno,disana
2962,dsruh,disuruh
2963,dst,dan seterusnya
2964,dtang,datang
2965,dteng,datang
2966,dtg,datang
2967,dtgin,datangin
2968,dturunkn,diturunkan
2969,duitna,duitnya
2970,during,selama
2971,duwe,punya
2972,duwit,duit
2973,dy,dia
2974,elo,kamu
2975,elu,kamu
2976,emg,emang
2977,emng,emang
2978,emoh,tidak mau
2979,endiri,sendiri
2980,endonesa,Indonesia
2981,enelaan,beneran
2982,engak,tidak
2983,engga,tidak
2984,enggk,tidak
2985,engk,tidak
2986,enk,enak
2987,enough,cukup
2988,entar,nanti
2989,enteng,ringan
2990,enyak,enak
2991,etc,dan lain-lain
2992,event,acara
2993,every,setiap
2994,everybody,semua orang
2995,everything,segala sesuatu
2996,everywhere,dimanapun
2997,ex,contoh
2998,excelent,bagus
2999,exit,keluar
3000,face,muka
3001,fact,fakta
3002,failed,gagal
3003,father,ayah
3004,fee,biaya
3005,ferari,ferrari
3006,filem,film
3007,finally,akhirnya
3008,focus,fokus
3009,folback,follow back
3010,folbacknya,follow back nya
3011,folbc,follow back
3012,folbcak,follow back
3013,folbek,follow back
3014,folbeknya,follow back nya
3015,follback,follow back
3016,follbacknya,follow back nya
3017,follbc,follow back
3018,follo,follow
3019,followbak,follow back
3020,folo,follow
3021,folow,follow
3022,folowback,follow back
3023,folowbak,follow back
3024,folowbcak,follow back
3025,football,sepak bola
3026,for,untuk
3027,forged,lupa
3028,forget,lupa
3029,forgot,lupa
3030,foto2,foto-foto
3031,friday,jumat
3032,friend,teman
3033,frofil,profil
3034,from,dari
3035,function,fungsi
3036,funny,lucu
3037,funtion,fungsi
3038,funy,lucu
3039,g,tidak
3040,ga,tidak
3041,gaada,tidak ada
3042,gaakan,tidak akan
3043,gaasik,tidak asik
3044,gabakal,tak akan
3045,gabareng,tidak bareng
3046,gabebas,tidak bebas
3047,gabeda,tidak beda
3048,gaberani,tidak berani
3049,gabilang,tidak bilang
3050,gabisa,tidak bisa
3051,gabole,tidak boleh
3052,gaboleh,tidak boleh
3053,gabosen,tidak bosen
3054,gabs,tidak bisa
3055,gad,tidak ada
3056,gada,tidak ada
3057,gadaiin,gadaikan
3058,Gadapet,tidak dapat
3059,gadein,gadaikan
3060,gadeket,tidak dekat
3061,gadiajak,tidak diajak
3062,gadibales,tidak dibalas
3063,gae,membuat
3064,gaean,pekerjaan
3065,gaenak,tidak enak
3066,gaene,biasanya
3067,gag,tidak
3068,gahoel,gaul
3069,gahol,gaul
3070,gaikut,tidak ikut
3071,gaikutaaan,tidak ikutan
3072,gaikutan,tidak ikutan
3073,gaiso,tidak bisa
3074,gajadi,tidak jadi
3075,gajalan,tidak jalan
3076,gajanji,tidak janji
3077,gajauh,tidak jauh
3078,Gajd,tidak jadi
3079,Gaje,tidak jelas
3080,gajelas,tidak jelas
3081,gajenguk,tidak menjenguk
3082,gak,tidak
3083,gakada,tidak ada
3084,Gakan,tidak akan
3085,gakbilang,tidak bilang
3086,gakbisa,tidak bisa
3087,gakdeh,tidak deh
3088,gakenak,tidak enak
3089,gakjadi,tidak jadi
3090,gakmau,tidak mau
3091,gakpapa,tidak apa-apa
3092,gakpenting,tidak penting
3093,gakpernah,tidak pernah
3094,gaksabar,tidak sabar
3095,gaksemua,tidak semua
3096,gaksih,tidak sih
3097,gaktau,tidak tau
3098,gaktuh,tidah tuh
3099,gamain,tidak main
3100,gamales,tidak malas
3101,gamao,tidak mau
3102,gamasuk,tidak masuk
3103,gamau,tidak mau
3104,gamsk,tidak masuk
3105,gamuat,tidak muat
3106,gamungkin,tidak mungkin
3107,gan,juragan
3108,gangajak,tidak mengajak
3109,Gangerti,tidak mengerti
3110,ganguin,gangguin
3111,gantiin,gantikan
3112,gantinen,ganti saja
3113,gaosah,tidak usah
3114,gapada,tidak pada
3115,gapaham,tidak paham
3116,gapake,tidak pakai
3117,gapapa,tidak apa-apa
3118,gapercaya,tidak percaya
3119,gaperlu,tidak perlu
3120,gapernah,tidak pernah
3121,gapo,tidak apa-apa
3122,gaptek,gagap teknologi
3123,gapulang,tidak pulang
